Tree,Model,Node,LogLikelihood,AICc,State,Probability
1,ER,PUA,-14.8874340522464,31.9748681044929,C,0.00439328015851984
1,ER,PUA,-14.8874340522464,31.9748681044929,I,0.147505861390913
1,ER,PUA,-14.8874340522464,31.9748681044929,N,0.848100858450567
1,ER,PNUA,-14.8874340522464,31.9748681044929,C,0.000591861336667934
1,ER,PNUA,-14.8874340522464,31.9748681044929,I,0.01271224141757
1,ER,PNUA,-14.8874340522464,31.9748681044929,N,0.986695897245762
1,ER,PSUA,-14.8874340522464,31.9748681044929,C,0.00613396900722349
1,ER,PSUA,-14.8874340522464,31.9748681044929,I,0.848983181596987
1,ER,PSUA,-14.8874340522464,31.9748681044929,N,0.14488284939579
1,SYM,PUA,-12.4145479351403,32.1624292036138,C,1.05998484382641e-17
1,SYM,PUA,-12.4145479351403,32.1624292036138,I,0.378814754277386
1,SYM,PUA,-12.4145479351403,32.1624292036138,N,0.621185245722614
1,SYM,PNUA,-12.4145479351403,32.1624292036138,C,2.67928245450989e-18
1,SYM,PNUA,-12.4145479351403,32.1624292036138,I,0.094644718074941
1,SYM,PNUA,-12.4145479351403,32.1624292036138,N,0.905355281925059
1,SYM,PSUA,-12.4145479351403,32.1624292036138,C,4.4735193739846e-13
1,SYM,PSUA,-12.4145479351403,32.1624292036138,I,0.799588890867527
1,SYM,PSUA,-12.4145479351403,32.1624292036138,N,0.200411109132026
1,ARD,PUA,-11.7657364723669,41.1314729447339,C,8.63661816098548e-14
1,ARD,PUA,-11.7657364723669,41.1314729447339,I,1.92852251425926e-06
1,ARD,PUA,-11.7657364723669,41.1314729447339,N,0.999998071477399
1,ARD,PNUA,-11.7657364723669,41.1314729447339,C,2.34282680715544e-18
1,ARD,PNUA,-11.7657364723669,41.1314729447339,I,2.22220002223293e-12
1,ARD,PNUA,-11.7657364723669,41.1314729447339,N,0.999999999997778
1,ARD,PSUA,-11.7657364723669,41.1314729447339,C,4.71918627622436e-09
1,ARD,PSUA,-11.7657364723669,41.1314729447339,I,0.765430026243678
1,ARD,PSUA,-11.7657364723669,41.1314729447339,N,0.234569969037136
2,ER,PUA,-14.3808304179802,30.9616608359605,C,4.35262684053909e-05
2,ER,PUA,-14.3808304179802,30.9616608359605,I,0.136821187291471
2,ER,PUA,-14.3808304179802,30.9616608359605,N,0.863135286440124
2,ER,PNUA,-14.3808304179802,30.9616608359605,C,0.000128246784092777
2,ER,PNUA,-14.3808304179802,30.9616608359605,I,0.00623769022090128
