Tree,Model,Node,LogLikelihood,AICc,State,Probability
1,ER,PUA,-7.61999482349631,17.4399896469926,L,0.194263143321487
1,ER,PUA,-7.61999482349631,17.4399896469926,S,0.805736856678513
1,ER,PNUA,-7.61999482349631,17.4399896469926,L,0.0189563525484943
1,ER,PNUA,-7.61999482349631,17.4399896469926,S,0.981043647451506
1,ER,PSUA,-7.61999482349631,17.4399896469926,L,0.972046746633703
1,ER,PSUA,-7.61999482349631,17.4399896469926,S,0.0279532533662968
1,SYM,PUA,-7.61999482134452,17.439989642689,L,0.194293589555375
1,SYM,PUA,-7.61999482134452,17.439989642689,S,0.805706410444625
1,SYM,PNUA,-7.61999482134452,17.439989642689,L,0.0189617819081418
1,SYM,PNUA,-7.61999482134452,17.439989642689,S,0.981038218091858
1,SYM,PSUA,-7.61999482134452,17.439989642689,L,0.97204287290366
1,SYM,PSUA,-7.61999482134452,17.439989642689,S,0.0279571270963399
1,ARD,PUA,-6.7338039700699,18.0991868875082,L,2.21744250507648e-06
1,ARD,PUA,-6.7338039700699,18.0991868875082,S,0.999997782557495
1,ARD,PNUA,-6.7338039700699,18.0991868875082,L,2.37897450736463e-12
1,ARD,PNUA,-6.7338039700699,18.0991868875082,S,0.999999999997621
1,ARD,PSUA,-6.7338039700699,18.0991868875082,L,0.952409219413656
1,ARD,PSUA,-6.7338039700699,18.0991868875082,S,0.047590780586344
2,ER,PUA,-7.09810227767719,16.3962045553544,L,0.145946662745779
2,ER,PUA,-7.09810227767719,16.3962045553544,S,0.854053337254221
2,ER,PNUA,-7.09810227767719,16.3962045553544,L,0.00376826931218222
2,ER,PNUA,-7.09810227767719,16.3962045553544,S,0.996231730687818
2,ER,PSUA,-7.09810227767719,16.3962045553544,L,0.99594330892244
2,ER,PSUA,-7.09810227767719,16.3962045553544,S,0.00405669107756002
2,SYM,PUA,-7.09810227898944,16.3962045579789,L,0.145947238706589
2,SYM,PUA,-7.09810227898944,16.3962045579789,S,0.854052761293411
2,SYM,PNUA,-7.09810227898944,16.3962045579789,L,0.00376850427356434
2,SYM,PNUA,-7.09810227898944,16.3962045579789,S,0.996231495726436
2,SYM,PSUA,-7.09810227898944,16.3962045579789,L,0.995943073043967
2,SYM,PSUA,-7.09810227898944,16.3962045579789,S,0.004056926956033
2,ARD,PUA,-6.12939785540762,16.8903746581837,L,2.52206949820068e-16
2,ARD,PUA,-6.12939785540762,16.8903746581837,S,1
2,ARD,PNUA,-6.12939785540762,16.8903746581837,L,1.5993754400342e-15
2,ARD,PNUA,-6.12939785540762,16.8903746581837,S,0.999999999999998
2,ARD,PSUA,-6.12939785540762,16.8903746581837,L,0.989672726183073
2,ARD,PSUA,-6.12939785540762,16.8903746581837,S,0.0103272738169274
3,ER,PUA,-7.66958303961493,17.5391660792299,L,0.0782536535030489
3,ER,PUA,-7.66958303961493,17.5391660792299,S,0.921746346496951
3,ER,PNUA,-7.66958303961493,17.5391660792299,L,0.00352649401165443
3,ER,PNUA,-7.66958303961493,17.5391660792299,S,0.996473505988346
3,ER,PSUA,-7.66958303961493,17.5391660792299,L,0.967142966514577
3,ER,PSUA,-7.66958303961493,17.5391660792299,S,0.0328570334854227
3,SYM,PUA,-7.66958304208416,17.5391660841683,L,0.078256250083378
3,SYM,PUA,-7.66958304208416,17.5391660841683,S,0.921743749916622
3,SYM,PNUA,-7.66958304208416,17.5391660841683,L,0.00352672535353724
3,SYM,PNUA,-7.66958304208416,17.5391660841683,S,0.996473274646463
3,SYM,PSUA,-7.66958304208416,17.5391660841683,L,0.967141927545497
3,SYM,PSUA,-7.66958304208416,17.5391660841683,S,0.0328580724545033
3,ARD,PUA,-6.82875533433201,18.2890896160324,L,7.69409481530394e-07
3,ARD,PUA,-6.82875533433201,18.2890896160324,S,0.999999230590518
3,ARD,PNUA,-6.82875533433201,18.2890896160324,L,2.11031037423419e-13
3,ARD,PNUA,-6.82875533433201,18.2890896160324,S,0.999999999999789
3,ARD,PSUA,-6.82875533433201,18.2890896160324,L,0.949149173335579
3,ARD,PSUA,-6.82875533433201,18.2890896160324,S,0.0508508266644212
4,ER,PUA,-7.80197694847373,17.8039538969475,L,0.0381304978789815
4,ER,PUA,-7.80197694847373,17.8039538969475,S,0.961869502121019
4,ER,PNUA,-7.80197694847373,17.8039538969475,L,0.00559457144505259
4,ER,PNUA,-7.80197694847373,17.8039538969475,S,0.994405428554947
4,ER,PSUA,-7.80197694847373,17.8039538969475,L,0.983255839447165
4,ER,PSUA,-7.80197694847373,17.8039538969475,S,0.016744160552835
4,SYM,PUA,-7.80197696430303,17.8039539286061,L,0.0381395541474483
4,SYM,PUA,-7.80197696430303,17.8039539286061,S,0.961860445852552
4,SYM,PNUA,-7.80197696430303,17.8039539286061,L,0.00559690901471354
4,SYM,PNUA,-7.80197696430303,17.8039539286061,S,0.994403090985286
4,SYM,PSUA,-7.80197696430303,17.8039539286061,L,0.983250685637677
4,SYM,PSUA,-7.80197696430303,17.8039539286061,S,0.0167493143623226
4,ARD,PUA,-7.03477767661983,18.7011343006081,L,4.36722299490027e-07
4,ARD,PUA,-7.03477767661983,18.7011343006081,S,0.999999563277701
4,ARD,PNUA,-7.03477767661983,18.7011343006081,L,1.19853835852426e-13
4,ARD,PNUA,-7.03477767661983,18.7011343006081,S,0.99999999999988
4,ARD,PSUA,-7.03477767661983,18.7011343006081,L,0.97138559406676
4,ARD,PSUA,-7.03477767661983,18.7011343006081,S,0.0286144059332401
5,ER,PUA,-7.97292254627828,18.1458450925566,L,0.0754174724931826
5,ER,PUA,-7.97292254627828,18.1458450925566,S,0.924582527506817
5,ER,PNUA,-7.97292254627828,18.1458450925566,L,0.0146266400042683
5,ER,PNUA,-7.97292254627828,18.1458450925566,S,0.985373359995732
5,ER,PSUA,-7.97292254627828,18.1458450925566,L,0.989229172695751
5,ER,PSUA,-7.97292254627828,18.1458450925566,S,0.010770827304249
5,SYM,PUA,-7.97292253977927,18.1458450795585,L,0.0754020153246749
5,SYM,PUA,-7.97292253977927,18.1458450795585,S,0.924597984675325
5,SYM,PNUA,-7.97292253977927,18.1458450795585,L,0.0146218184565794
5,SYM,PNUA,-7.97292253977927,18.1458450795585,S,0.985378181543421
5,SYM,PSUA,-7.97292253977927,18.1458450795585,L,0.989231569737222
5,SYM,PSUA,-7.97292253977927,18.1458450795585,S,0.010768430262778
5,ARD,PUA,-7.1022889415582,18.8361568304848,L,8.75928050256871e-07
5,ARD,PUA,-7.1022889415582,18.8361568304848,S,0.99999912407195
5,ARD,PNUA,-7.1022889415582,18.8361568304848,L,2.18202812051671e-12
5,ARD,PNUA,-7.1022889415582,18.8361568304848,S,0.999999999997818
5,ARD,PSUA,-7.1022889415582,18.8361568304848,L,0.980173378440125
5,ARD,PSUA,-7.1022889415582,18.8361568304848,S,0.0198266215598751
6,ER,PUA,-7.96437653966761,18.1287530793352,L,0.140650867370139
6,ER,PUA,-7.96437653966761,18.1287530793352,S,0.859349132629861
6,ER,PNUA,-7.96437653966761,18.1287530793352,L,0.0112151937457463
6,ER,PNUA,-7.96437653966761,18.1287530793352,S,0.988784806254254
6,ER,PSUA,-7.96437653966761,18.1287530793352,L,0.985145272726742
6,ER,PSUA,-7.96437653966761,18.1287530793352,S,0.0148547272732577
6,SYM,PUA,-7.96437652722351,18.128753054447,L,0.140632925104042
6,SYM,PUA,-7.96437652722351,18.128753054447,S,0.859367074895958
6,SYM,PNUA,-7.96437652722351,18.128753054447,L,0.0112125874181503
6,SYM,PNUA,-7.96437652722351,18.128753054447,S,0.98878741258185
6,SYM,PSUA,-7.96437652722351,18.128753054447,L,0.98514782557083
6,SYM,PSUA,-7.96437652722351,18.128753054447,S,0.0148521744291701
6,ARD,PUA,-7.10415230490741,18.8398835571832,L,1.63921372814055e-06
6,ARD,PUA,-7.10415230490741,18.8398835571832,S,0.999998360786272
6,ARD,PNUA,-7.10415230490741,18.8398835571832,L,1.18202223793417e-12
6,ARD,PNUA,-7.10415230490741,18.8398835571832,S,0.999999999998818
6,ARD,PSUA,-7.10415230490741,18.8398835571832,L,0.970357195009844
6,ARD,PSUA,-7.10415230490741,18.8398835571832,S,0.0296428049901556
7,ER,PUA,-7.43082303520743,17.0616460704149,L,0.0491502284012537
7,ER,PUA,-7.43082303520743,17.0616460704149,S,0.950849771598746
7,ER,PNUA,-7.43082303520743,17.0616460704149,L,0.0176007329435423
7,ER,PNUA,-7.43082303520743,17.0616460704149,S,0.982399267056458
7,ER,PSUA,-7.43082303520743,17.0616460704149,L,0.984870762016965
7,ER,PSUA,-7.43082303520743,17.0616460704149,S,0.0151292379830347
7,SYM,PUA,-7.43082303993914,17.0616460798783,L,0.0491455294127257
7,SYM,PUA,-7.43082303993914,17.0616460798783,S,0.950854470587274
7,SYM,PNUA,-7.43082303993914,17.0616460798783,L,0.0175988276979589
7,SYM,PNUA,-7.43082303993914,17.0616460798783,S,0.982401172302041
7,SYM,PSUA,-7.43082303993914,17.0616460798783,L,0.984872236402369
7,SYM,PSUA,-7.43082303993914,17.0616460798783,S,0.0151277635976307
7,ARD,PUA,-6.45036193129106,17.5323028099506,L,2.30159413877057e-07
7,ARD,PUA,-6.45036193129106,17.5323028099506,S,0.999999769840586
7,ARD,PNUA,-6.45036193129106,17.5323028099506,L,1.67884604005542e-12
7,ARD,PNUA,-6.45036193129106,17.5323028099506,S,0.999999999998321
7,ARD,PSUA,-6.45036193129106,17.5323028099506,L,0.969581660961458
