Tree,Model,Node,LogLikelihood,AICc,State,Probability
1,ER,PUA,-12.3697796331424,26.9395592662849,C,0.383515097022724
1,ER,PUA,-12.3697796331424,26.9395592662849,N,0.616484902977276
1,ER,PNUA,-12.3697796331424,26.9395592662849,C,0.0984278284559572
1,ER,PNUA,-12.3697796331424,26.9395592662849,N,0.901572171544043
1,ER,PSUA,-12.3697796331424,26.9395592662849,C,0.797060161898698
1,ER,PSUA,-12.3697796331424,26.9395592662849,N,0.202939838101302
1,SYM,PUA,-12.3697796471217,26.9395592942433,C,0.383530884213945
1,SYM,PUA,-12.3697796471217,26.9395592942433,N,0.616469115786055
1,SYM,PNUA,-12.3697796471217,26.9395592942433,C,0.0984401919051912
1,SYM,PNUA,-12.3697796471217,26.9395592942433,N,0.901559808094809
1,SYM,PSUA,-12.3697796471217,26.9395592942433,C,0.797050065407405
1,SYM,PSUA,-12.3697796471217,26.9395592942433,N,0.202949934592595
1,ARD,PUA,-12.4390273177593,29.5096335828869,C,0.367829834923998
1,ARD,PUA,-12.4390273177593,29.5096335828869,N,0.632170165076002
1,ARD,PNUA,-12.4390273177593,29.5096335828869,C,0.367825251306947
1,ARD,PNUA,-12.4390273177593,29.5096335828869,N,0.632174748693053
1,ARD,PSUA,-12.4390273177593,29.5096335828869,C,0.367827264654179
1,ARD,PSUA,-12.4390273177593,29.5096335828869,N,0.632172735345822
2,ER,PUA,-12.0568477876921,26.3136955753842,C,0.16407601388855
2,ER,PUA,-12.0568477876921,26.3136955753842,N,0.83592398611145
2,ER,PNUA,-12.0568477876921,26.3136955753842,C,0.0403870304291631
2,ER,PNUA,-12.0568477876921,26.3136955753842,N,0.959612969570837
2,ER,PSUA,-12.0568477876921,26.3136955753842,C,0.882146683659646
2,ER,PSUA,-12.0568477876921,26.3136955753842,N,0.117853316340354
2,SYM,PUA,-12.0568477877906,26.3136955755811,C,0.164075932678613
2,SYM,PUA,-12.0568477877906,26.3136955755811,N,0.835924067321387
2,SYM,PNUA,-12.0568477877906,26.3136955755811,C,0.0403868948639961
2,SYM,PNUA,-12.0568477877906,26.3136955755811,N,0.959613105136004
2,SYM,PSUA,-12.0568477877906,26.3136955755811,C,0.882146981452871
2,SYM,PSUA,-12.0568477877906,26.3136955755811,N,0.117853018547129
2,ARD,PUA,-10.9466398983911,26.5248587441507,C,2.57822964347238e-17
2,ARD,PUA,-10.9466398983911,26.5248587441507,N,1
2,ARD,PNUA,-10.9466398983911,26.5248587441507,C,3.43503168891456e-15
2,ARD,PNUA,-10.9466398983911,26.5248587441507,N,0.999999999999997
2,ARD,PSUA,-10.9466398983911,26.5248587441507,C,0.888677467599611
2,ARD,PSUA,-10.9466398983911,26.5248587441507,N,0.111322532400389
3,ER,PUA,-12.0876938807388,26.3753877614776,C,0.232685095025517
